"VIN","Year","Make","Model","Trim","Mileage","Opening Price","Buy Now Price","Vehicle Link"
"1C4RJKBGXM8149680",2021,"Jeep","Grand Cherokee L","Limited",106104,19500,20100,"https://smartauctionlogin.com/ui/vehicles/08f5e15f-83db-4628-95d7-df72550d5eb2"
"1C6RRFFG0NN234127",2022,"Ram","Pickup 1500","Big Horn",49897,29000,29900,"https://smartauctionlogin.com/ui/vehicles/838851bb-7a11-4b5d-831f-b847a74e7264"
"3C4NJDCBXNT135973",2022,"Jeep","Compass","Limited",47013,18000,18500,"https://smartauctionlogin.com/ui/vehicles/c44698cc-942a-454a-a840-b80c16245ec5"
"3C4NJDCB8NT128097",2022,"Jeep","Compass","Limited",19021,19900,20500,"https://smartauctionlogin.com/ui/vehicles/a38f171d-6722-4a91-a6d0-a6590b4ee81a"
"3C4NJDCB7NT145098",2022,"Jeep","Compass","Limited",21126,19900,20500,"https://smartauctionlogin.com/ui/vehicles/1516b9f2-2f7d-4c71-824b-2111b1b2452b"
"1C6SRFBT4NN165172",2022,"Ram","Pickup 1500","Big Horn",38171,28800,29700,"https://smartauctionlogin.com/ui/vehicles/6401d2f3-904c-4619-b856-31b5d17ea000"
"1C6RRFBG5MN729086",2021,"Ram","Pickup 1500","Big Horn",39274,25600,26400,"https://smartauctionlogin.com/ui/vehicles/0bd42198-085c-486a-bc6c-4660a146b45a"
"1C4RJKAGXP8782105",2023,"Jeep","Grand Cherokee L","Laredo",28695,26800,27600,"https://smartauctionlogin.com/ui/vehicles/f0ffcfce-6a44-4cbf-a682-92a7009a582c"
"ZACNJDBB9MPN35334",2021,"Jeep","Renegade","Latitude",39285,15600,16100,"https://smartauctionlogin.com/ui/vehicles/f2d7cd6a-b234-49c4-a19e-d197d7c923cd"
"ZARFAMBN8N7656586",2022,"Alfa Romeo","Giulia","Ti",38348,21700,22400,"https://smartauctionlogin.com/ui/vehicles/5c91fc59-3def-4d3d-99e4-71c1e6f3597e"
"3C4NJDCB5NT112049",2022,"Jeep","Compass","Limited",23095,19900,20500,"https://smartauctionlogin.com/ui/vehicles/06f99edf-d14e-4823-9584-b16f3c1f15da"
"1C4RJKAG6P8768167",2023,"Jeep","Grand Cherokee L","Laredo",55914,25000,25800,"https://smartauctionlogin.com/ui/vehicles/585123b2-77ac-4b71-8eda-810aad12a341"
"1GCPDKEK5NZ629958",2022,"Chevrolet","Silverado 1500","LT",50900,31400,32300,"https://smartauctionlogin.com/ui/vehicles/5a7efb79-fce4-4bd5-ad3b-09906dfd2910"
"1C6SRFBT4NN165169",2022,"Ram","Pickup 1500","Big Horn",18299,30800,31700,"https://smartauctionlogin.com/ui/vehicles/3877ff99-fdc0-4066-a8e7-bee239feac49"
"1C6RRFFG4LN412571",2020,"Ram","Pickup 1500","Big Horn",22796,27800,28600,"https://smartauctionlogin.com/ui/vehicles/af54c5d4-c390-43ff-9431-0874058903d7"
"ZARFAMBN8N7661075",2022,"Alfa Romeo","Giulia","Veloce",28540,22700,23400,"https://smartauctionlogin.com/ui/vehicles/7395b7db-4fd6-448e-8339-83ea43f82747"
"3C4NJDCB9NT111356",2022,"Jeep","Compass","Limited",20905,20500,21100,"https://smartauctionlogin.com/ui/vehicles/7d1d782f-8380-4693-9110-d7076daa394c"
"1C4PJMDX1MD234320",2021,"Jeep","Cherokee","Limited",12222,21500,22100,"https://smartauctionlogin.com/ui/vehicles/ba6931f4-bf3b-402c-8406-279575478ea1"
"3C4NJDCB8NT112076",2022,"Jeep","Compass","Limited",48739,18800,19400,"https://smartauctionlogin.com/ui/vehicles/b6c5845c-c445-4028-acae-fb01e92c3e83"
"1C6RRFFG5NN226301",2022,"Ram","Pickup 1500","Big Horn",38442,31300,32200,"https://smartauctionlogin.com/ui/vehicles/7148de48-5b67-45f1-a28d-0cfdc0c2899a"
"1C4RJKAG6P8782036",2023,"Jeep","Grand Cherokee L","Laredo",24514,27300,28100,"https://smartauctionlogin.com/ui/vehicles/1dcf01c6-5f8e-4199-aa5d-1015ea158958"
"1C4RJKAG8P8782569",2023,"Jeep","Grand Cherokee L","Laredo",26100,27200,28000,"https://smartauctionlogin.com/ui/vehicles/d2f1c800-24c6-4491-8585-690d9e233ee4"
"1C4SJVDT8NS128117",2022,"Jeep","Wagoneer","Series III",68379,36900,38000,"https://smartauctionlogin.com/ui/vehicles/ae4e2213-af89-4bff-9e62-45366fa39eba"
"1C4RJFAG4MC882166",2021,"Jeep","Grand Cherokee","Laredo E",31225,21200,21800,"https://smartauctionlogin.com/ui/vehicles/3230e0fd-8eb3-4fc3-b7af-7d0e39ce83c4"
"3C4NJDCB2NT184360",2022,"Jeep","Compass","Limited",24543,20600,21200,"https://smartauctionlogin.com/ui/vehicles/24e20cb1-6a92-4267-a37a-eaef6ea6f776"
