"Vin#","Year","Vehicle","Mileage","Drive Train","Engine Size","Price$","State","Buy Now Price","URL"
"ZASPAKBN0P7D54531","2023","Alfa Romeo Stelvio Veloce","47297","AWD","2.0L","22700","New Jersey","23400","https://smartauctionlogin.com/ui/vehicles/f44efdd9-b508-4eb1-a8ab-195c79d0f65a"
"ZASPATCW6R3046008","2024","Alfa Romeo Tonale Ti","13609","AWD","1.3L","22100","New York","22800","https://smartauctionlogin.com/ui/vehicles/5e01d13c-43f1-4287-9840-7afd91bdc9e9"
"ZASPAKBN7P7D55952","2023","Alfa Romeo Stelvio Veloce","41889","AWD","2.0L","23700","Connecticut","24400","https://smartauctionlogin.com/ui/vehicles/4d8e882b-9496-41b7-8f01-081bba9f8a7b"
"ZASPATCW1R3051259","2024","Alfa Romeo Tonale Ti","12083","AWD","1.3L","22800","Connecticut","23500","https://smartauctionlogin.com/ui/vehicles/7ed4bc37-fb95-452e-a275-fc48eb9ab155"
"ZASPATDW6R3039218","2024","Alfa Romeo Tonale Veloce","9560","AWD","1.3L","24500","Ohio","25200","https://smartauctionlogin.com/ui/vehicles/4f76d16a-5562-462e-b830-bd0af09b4e3d"
"ML32A3HJXHH015674","2017","Mitsubishi Mirage ES","42682","FWD","1.2L","1300","North Carolina","","https://smartauctionlogin.com/ui/vehicles/4317d99d-4f50-44b5-83d5-816f7765d84e"
"3GKALVEV2ML319622","2021","GMC Terrain SLT","82043","AWD","1.5L","14600","Georgia","","https://smartauctionlogin.com/ui/vehicles/8ed6025b-bfc3-4976-bbab-cfa1bfd0baa2"
"4T1C11AK8NU659679","2022","Toyota Camry LE","77813","FWD","2.5L","15700","Georgia","","https://smartauctionlogin.com/ui/vehicles/ed675c7b-feeb-4eeb-bc06-2125d3097ea9"
"3KPF24ADXPE573499","2023","Kia Forte LXS","32403","FWD","2.0L","14600","Florida","","https://smartauctionlogin.com/ui/vehicles/036e76e9-8a38-440d-ad64-bb101bb2c193"
"3C4PDCAB2LT279575","2020","Dodge Journey SE Value","83747","FWD","2.4L","10300","Alabama","","https://smartauctionlogin.com/ui/vehicles/29540ac4-aaf5-4352-b9c1-52794e554710"
"ZACNJDB19PPP61918","2023","Jeep Renegade Latitude","22061","4WD","1.3L","17800","Georgia","","https://smartauctionlogin.com/ui/vehicles/56c1bad4-b826-47a2-aeec-c84aef443002"
